epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4921,2.3539,3.56706,1.45197,0.02047,0.83246,0.26886,0.14691,1.42223,3.23353,1.0684,0.000328889,0.000328889,0.000328889
2,37.3998,1.57298,1.92757,1.07589,0.61827,0.55671,0.60177,0.33107,1.47393,2.14972,1.10534,0.000655666,0.000655666,0.000655666
3,56.307,1.43477,1.52807,1.0421,0.56235,0.52296,0.51154,0.14666,2.33123,1.97036,1.37588,0.000975844,0.000975844,0.000975844
4,74.0974,1.41701,1.35348,1.03086,0.27867,0.20387,0.16741,0.0407,2.83616,2.44849,1.53931,0.0009703,0.0009703,0.0009703
5,92.6439,1.31744,1.18783,1.00303,0.87846,0.83995,0.92257,0.59658,1.14113,1.0273,0.97167,0.0009604,0.0009604,0.0009604
6,110.656,1.33175,1.14709,1.00586,0.83244,0.82777,0.88617,0.42476,1.67224,1.23425,1.15717,0.0009505,0.0009505,0.0009505
7,128.473,1.23673,1.03272,0.98563,0.78134,0.73602,0.76826,0.2352,2.27109,1.36837,1.33726,0.0009406,0.0009406,0.0009406
8,147.374,1.23569,0.99877,0.97811,0.81703,0.75785,0.8122,0.24456,2.39313,1.36845,1.45043,0.0009307,0.0009307,0.0009307
9,165.369,1.22826,0.94688,0.97559,0.87239,0.83939,0.91052,0.461,1.58796,1.0594,1.12858,0.0009208,0.0009208,0.0009208
10,182.866,1.22664,0.93142,0.97506,0.90854,0.82784,0.93276,0.58313,1.21968,0.93748,1.00897,0.0009109,0.0009109,0.0009109
11,201.918,1.2029,0.8746,0.96657,0.95289,0.90901,0.96849,0.69733,0.99856,0.73231,0.94048,0.000901,0.000901,0.000901
12,220.04,1.18116,0.84172,0.97003,0.92052,0.90876,0.9655,0.70041,0.97384,0.73561,0.93916,0.0008911,0.0008911,0.0008911
13,238.081,1.1506,0.81958,0.95531,0.94676,0.9184,0.96968,0.68684,1.01588,0.67918,0.95021,0.0008812,0.0008812,0.0008812
14,256.343,1.14819,0.7935,0.95659,0.90865,0.90105,0.95109,0.49384,1.52314,0.86751,1.10785,0.0008713,0.0008713,0.0008713
15,273.641,1.12391,0.77924,0.94608,0.95421,0.92053,0.96939,0.69012,1.03386,0.64984,0.94568,0.0008614,0.0008614,0.0008614
16,292.274,1.10699,0.74436,0.94815,0.96079,0.91892,0.96715,0.644,1.12599,0.65912,0.96069,0.0008515,0.0008515,0.0008515
17,310.206,1.13965,0.75523,0.95214,0.96015,0.90308,0.9638,0.6665,1.05406,0.68448,0.95261,0.0008416,0.0008416,0.0008416
18,327.359,1.12779,0.72708,0.9483,0.95179,0.90289,0.96914,0.61194,1.27078,0.72203,1.00325,0.0008317,0.0008317,0.0008317
19,346.332,1.06849,0.70428,0.93961,0.9522,0.88563,0.95215,0.42534,1.91835,0.8131,1.21322,0.0008218,0.0008218,0.0008218
20,363.946,1.11731,0.71759,0.9468,0.92478,0.89719,0.93974,0.38547,1.99654,0.84971,1.21911,0.0008119,0.0008119,0.0008119
21,381.283,1.08699,0.69046,0.94122,0.9665,0.90579,0.97198,0.69488,0.98886,0.61228,0.92969,0.000802,0.000802,0.000802
22,399.614,1.07856,0.69077,0.93729,0.96637,0.92551,0.97713,0.74333,0.86548,0.55495,0.91485,0.0007921,0.0007921,0.0007921
23,417.039,1.06425,0.68234,0.9357,0.95689,0.92028,0.96825,0.59916,1.29262,0.64174,1.00584,0.0007822,0.0007822,0.0007822
24,434.589,1.05875,0.6695,0.93201,0.93588,0.92096,0.96459,0.58284,1.31651,0.65585,1.00879,0.0007723,0.0007723,0.0007723
25,453.144,1.0743,0.67203,0.94074,0.9438,0.91804,0.96355,0.57998,1.38089,0.65746,1.03506,0.0007624,0.0007624,0.0007624
26,470.719,1.05022,0.65718,0.9358,0.93184,0.92127,0.97161,0.61857,1.23392,0.63849,1.0005,0.0007525,0.0007525,0.0007525
27,488.157,1.0402,0.64386,0.92951,0.9642,0.92356,0.9743,0.73788,0.88625,0.54159,0.90968,0.0007426,0.0007426,0.0007426
28,506.951,1.00894,0.63063,0.92217,0.95727,0.92962,0.97389,0.73329,0.90147,0.52716,0.91696,0.0007327,0.0007327,0.0007327
29,524.429,1.02768,0.63799,0.93176,0.95718,0.91972,0.96773,0.66706,1.09597,0.58097,0.95768,0.0007228,0.0007228,0.0007228
30,542.288,1.03393,0.62872,0.92922,0.9463,0.94562,0.97463,0.7268,0.94904,0.53391,0.92424,0.0007129,0.0007129,0.0007129
31,560.836,1.00634,0.61522,0.92149,0.9749,0.93786,0.98079,0.74022,0.89664,0.5168,0.91873,0.000703,0.000703,0.000703
32,578.324,1.00947,0.62082,0.92274,0.96682,0.92428,0.96969,0.57589,1.38694,0.63482,1.04428,0.0006931,0.0006931,0.0006931
33,596.414,1.02367,0.61999,0.92786,0.92096,0.89349,0.92791,0.36554,2.12109,0.84293,1.29876,0.0006832,0.0006832,0.0006832
34,614.484,1.06839,0.62037,0.93853,0.94923,0.90092,0.95426,0.42232,1.86945,0.72119,1.19955,0.0006733,0.0006733,0.0006733
35,632.037,0.99571,0.59731,0.9233,0.95349,0.9472,0.97833,0.73201,0.89165,0.50358,0.91493,0.0006634,0.0006634,0.0006634
36,649.696,0.97335,0.58697,0.91596,0.95402,0.91523,0.96236,0.49109,1.69953,0.68794,1.12874,0.0006535,0.0006535,0.0006535
37,667.595,0.9836,0.59407,0.91463,0.98054,0.92487,0.97529,0.75593,0.86364,0.49359,0.90389,0.0006436,0.0006436,0.0006436
38,685.469,1.0087,0.59109,0.92322,0.95977,0.95187,0.9802,0.72117,0.94938,0.49169,0.92832,0.0006337,0.0006337,0.0006337
39,703.467,0.99973,0.58242,0.91562,0.92889,0.94532,0.9763,0.57159,1.4311,0.66308,1.05424,0.0006238,0.0006238,0.0006238
40,721.102,0.97273,0.58623,0.91759,0.97212,0.93186,0.97486,0.62333,1.25305,0.55848,0.99505,0.0006139,0.0006139,0.0006139
41,738.379,0.97669,0.58289,0.91212,0.96352,0.94131,0.97627,0.69505,1.0172,0.5089,0.94016,0.000604,0.000604,0.000604
42,756.259,0.95184,0.56565,0.90772,0.97423,0.926,0.97751,0.62575,1.24076,0.54437,0.99138,0.0005941,0.0005941,0.0005941
